imgID,label, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
angry_actor_104.jpg,5,0.875,0.0,0.0,1.69,0.39,1.45,2.04,0.78,0.0,0.02,2.8,0.18,1.0,1.34,0.0,1.2,0.0,0.09,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
angry_actor_109.jpg,5,0.925,1.39,0.0,1.31,0.38,0.91,0.75,1.21,1.12,0.76,0.93,1.11,0.02,1.7,0.0,1.2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
angry_actor_132.jpg,5,0.975,0.0,0.0,1.64,0.93,0.0,0.0,0.1,0.26,0.0,0.15,0.0,1.43,0.0,0.58,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
angry_actor_137.jpg,5,0.975,0.64,0.0,1.63,0.39,1.28,1.08,2.44,2.85,0.58,1.51,0.65,0.5,1.17,0.18,1.18,0.84,0.39,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
angry_actor_139.jpg,5,0.875,2.38,1.27,2.77,1.23,0.24,2.2,0.09,1.09,0.0,0.0,0.0,1.38,0.33,0.25,0.04,1.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
angry_actor_14.jpg,5,0.875,0.0,0.0,0.26,1.56,0.44,0.0,1.4,2.09,0.15,0.54,0.54,0.04,1.99,0.12,0.34,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
angry_actor_150.jpg,5,0.975,2.13,0.16,1.41,1.3,1.2,2.76,1.0,1.7,0.0,0.0,1.09,0.0,0.78,0.0,0.43,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
angry_actor_16.jpg,5,0.925,0.0,0.0,1.18,0.0,0.87,0.4,1.23,2.28,0.34,1.65,0.9,0.0,0.74,0.0,0.76,0.54,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
angry_actor_18.jpg,5,0.975,1.48,0.04,0.93,0.58,2.44,3.43,3.38,1.25,0.47,1.2,0.61,0.2,1.1,0.44,1.32,0.37,0.11,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
angry_actor_197.jpg,5,0.875,1.16,0.0,0.0,0.0,0.68,0.96,0.57,0.33,0.25,0.0,0.0,0.0,0.0,1.16,0.11,0.25,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
